,掛牌日期,幣別,現金買入,現金賣出,即期買入,即期賣出
0,2020/05/04,美金 (USD),29.45,30.12,29.8,29.9
1,2020/04/30,美金 (USD),29.34,30.01,29.69,29.79
2,2020/04/29,美金 (USD),29.51,30.18,29.86,29.96
3,2020/04/28,美金 (USD),29.585,30.255,29.935,30.035
4,2020/04/27,美金 (USD),29.61,30.28,29.96,30.06
5,2020/04/24,美金 (USD),29.64,30.31,29.99,30.09
6,2020/04/23,美金 (USD),29.67,30.34,30.02,30.12
7,2020/04/22,美金 (USD),29.655,30.325,30.005,30.105
8,2020/04/21,美金 (USD),29.66,30.33,30.01,30.11
9,2020/04/20,美金 (USD),29.635,30.305,29.985,30.085
10,2020/04/17,美金 (USD),29.665,30.335,30.015,30.115
11,2020/04/16,美金 (USD),29.665,30.335,30.015,30.115
12,2020/04/15,美金 (USD),29.625,30.295,29.975,30.075
13,2020/04/14,美金 (USD),29.635,30.305,29.985,30.085
14,2020/04/13,美金 (USD),29.67,30.34,30.02,30.12
15,2020/04/10,美金 (USD),29.665,30.335,30.015,30.115
16,2020/04/09,美金 (USD),29.685,30.355,30.035,30.135
17,2020/04/08,美金 (USD),29.715,30.385,30.065,30.165
18,2020/04/07,美金 (USD),29.695,30.365,30.045,30.145
19,2020/04/06,美金 (USD),29.78,30.45,30.13,30.23
20,2020/04/01,美金 (USD),29.86,30.53,30.21,30.31
21,2020/03/31,美金 (USD),29.825,30.495,30.175,30.275
22,2020/03/30,美金 (USD),29.805,30.475,30.155,30.255
23,2020/03/27,美金 (USD),29.815,30.485,30.165,30.265
24,2020/03/26,美金 (USD),29.865,30.535,30.215,30.315
25,2020/03/25,美金 (USD),29.895,30.565,30.245,30.345
26,2020/03/24,美金 (USD),29.895,30.565,30.245,30.345
27,2020/03/23,美金 (USD),29.95,30.62,30.3,30.4
28,2020/03/20,美金 (USD),29.83,30.5,30.18,30.28
29,2020/03/19,美金 (USD),30.035,30.705,30.385,30.485
30,2020/03/18,美金 (USD),29.855,30.525,30.205,30.305
31,2020/03/17,美金 (USD),29.795,30.465,30.145,30.245
32,2020/03/16,美金 (USD),29.765,30.435,30.115,30.215
33,2020/03/13,美金 (USD),29.74,30.41,30.09,30.19
34,2020/03/12,美金 (USD),29.68,30.35,30.03,30.13
35,2020/03/11,美金 (USD),29.66,30.33,30.01,30.11
36,2020/03/10,美金 (USD),29.59,30.26,29.94,30.04
37,2020/03/09,美金 (USD),29.68,30.35,30.03,30.13
38,2020/03/06,美金 (USD),29.585,30.255,29.935,30.035
39,2020/03/05,美金 (USD),29.52,30.19,29.87,29.97
40,2020/03/04,美金 (USD),29.6,30.27,29.95,30.05
41,2020/03/03,美金 (USD),29.63,30.3,29.98,30.08
42,2020/03/02,美金 (USD),29.69,30.36,30.04,30.14
43,2020/02/27,美金 (USD),29.85,30.52,30.2,30.3
44,2020/02/26,美金 (USD),29.96,30.63,30.31,30.41
45,2020/02/25,美金 (USD),29.94,30.61,30.29,30.39
46,2020/02/24,美金 (USD),30.04,30.71,30.39,30.49
47,2020/02/21,美金 (USD),29.995,30.665,30.345,30.445
48,2020/02/20,美金 (USD),29.84,30.51,30.19,30.29
49,2020/02/19,美金 (USD),29.705,30.375,30.055,30.155
50,2020/02/18,美金 (USD),29.7,30.37,30.05,30.15
51,2020/02/17,美金 (USD),29.595,30.265,29.945,30.045
52,2020/02/15,美金 (USD),29.6,30.27,29.95,30.05
53,2020/02/14,美金 (USD),29.61,30.28,29.96,30.06
54,2020/02/13,美金 (USD),29.58,30.25,29.93,30.03
55,2020/02/12,美金 (USD),29.595,30.265,29.945,30.045
56,2020/02/11,美金 (USD),29.63,30.3,29.98,30.08
57,2020/02/10,美金 (USD),29.65,30.32,30.0,30.1
58,2020/02/07,美金 (USD),29.705,30.375,30.055,30.155
59,2020/02/06,美金 (USD),29.635,30.305,29.985,30.085
60,2020/02/05,美金 (USD),29.695,30.365,30.045,30.145
61,2020/02/04,美金 (USD),29.74,30.41,30.09,30.19
62,2020/02/03,美金 (USD),29.86,30.53,30.21,30.31
63,2020/01/31,美金 (USD),29.79,30.46,30.14,30.24
64,2020/01/30,美金 (USD),29.86,30.53,30.21,30.31
65,2020/01/22,美金 (USD),29.575,30.245,29.925,30.025
66,2020/01/21,美金 (USD),29.585,30.255,29.935,30.035
67,2020/01/20,美金 (USD),29.55,30.22,29.9,30.0
68,2020/01/17,美金 (USD),29.525,30.195,29.875,29.975
69,2020/01/16,美金 (USD),29.53,30.2,29.88,29.98
70,2020/01/15,美金 (USD),29.5,30.17,29.85,29.95
71,2020/01/14,美金 (USD),29.495,30.165,29.845,29.945
72,2020/01/13,美金 (USD),29.54,30.21,29.89,29.99
73,2020/01/10,美金 (USD),29.61,30.28,29.96,30.06
74,2020/01/09,美金 (USD),29.565,30.235,29.915,30.015
75,2020/01/08,美金 (USD),29.655,30.325,30.005,30.105
76,2020/01/07,美金 (USD),29.65,30.32,30.0,30.1
77,2020/01/06,美金 (USD),29.68,30.35,30.03,30.13
78,2020/01/03,美金 (USD),29.64,30.31,29.99,30.09
79,2020/01/02,美金 (USD),29.69,30.36,30.04,30.14
80,2019/12/31,美金 (USD),29.58,30.25,29.93,30.03
81,2019/12/30,美金 (USD),29.62,30.29,29.97,30.07
82,2019/12/27,美金 (USD),29.68,30.35,30.03,30.13
83,2019/12/26,美金 (USD),29.715,30.385,30.065,30.165
84,2019/12/25,美金 (USD),29.69,30.36,30.04,30.14
85,2019/12/24,美金 (USD),29.75,30.42,30.1,30.2
86,2019/12/23,美金 (USD),29.78,30.45,30.13,30.23
87,2019/12/20,美金 (USD),29.75,30.42,30.1,30.2
88,2019/12/19,美金 (USD),29.75,30.42,30.1,30.2
89,2019/12/18,美金 (USD),29.775,30.445,30.125,30.225
90,2019/12/17,美金 (USD),29.755,30.425,30.105,30.205
91,2019/12/16,美金 (USD),29.82,30.49,30.17,30.27
92,2019/12/13,美金 (USD),29.91,30.58,30.26,30.36
93,2019/12/12,美金 (USD),29.95,30.62,30.3,30.4
94,2019/12/11,美金 (USD),30.075,30.745,30.425,30.525
95,2019/12/10,美金 (USD),30.07,30.74,30.42,30.52
96,2019/12/09,美金 (USD),30.08,30.75,30.43,30.53
97,2019/12/06,美金 (USD),30.085,30.755,30.435,30.535
98,2019/12/05,美金 (USD),30.07,30.74,30.42,30.52
99,2019/12/04,美金 (USD),30.1,30.77,30.45,30.55
100,2019/12/03,美金 (USD),30.095,30.765,30.445,30.545
101,2019/12/02,美金 (USD),30.095,30.765,30.445,30.545
102,2019/11/29,美金 (USD),30.1,30.77,30.45,30.55
103,2019/11/28,美金 (USD),30.09,30.76,30.44,30.54
104,2019/11/27,美金 (USD),30.1,30.77,30.45,30.55
105,2019/11/26,美金 (USD),30.11,30.78,30.46,30.56
106,2019/11/25,美金 (USD),30.1,30.77,30.45,30.55
107,2019/11/22,美金 (USD),30.11,30.78,30.46,30.56
108,2019/11/21,美金 (USD),30.115,30.785,30.465,30.565
109,2019/11/20,美金 (USD),30.08,30.75,30.43,30.53
110,2019/11/19,美金 (USD),30.1,30.77,30.45,30.55
111,2019/11/18,美金 (USD),30.09,30.76,30.44,30.54
112,2019/11/15,美金 (USD),30.115,30.785,30.465,30.565
113,2019/11/14,美金 (USD),30.16,30.83,30.51,30.61
114,2019/11/13,美金 (USD),30.1,30.77,30.45,30.55
115,2019/11/12,美金 (USD),30.015,30.685,30.365,30.465
116,2019/11/11,美金 (USD),30.015,30.685,30.365,30.465
117,2019/11/08,美金 (USD),29.995,30.665,30.345,30.445
118,2019/11/07,美金 (USD),29.975,30.645,30.325,30.425
119,2019/11/06,美金 (USD),29.995,30.665,30.345,30.445
120,2019/11/05,美金 (USD),29.945,30.615,30.295,30.395
